Code Line,User Explanation,Line-Explanation in PCEX,Annotation Score
"System.out.println(""The smallest divisor of "" + num + "" is "" + divisor);","print the ""The smallest divisor of the num(what) is divisor(what).",This statement prints to the default standard output stream the smallest divisor of the number.,4
int num = 1234;,Initialize a number to some value.,We need variable num to store the integer that we want to print its digits.,3
do {,Start the loop where the digits are printed.,We need to process the digits of the integer from right to left and print them.,3
do {,Start the loop where the digits are printed.,"Therefore, we need to use a loop structure.",3
do {,Start the loop where the digits are printed.,"In this program, we do this by using a do loop.",3
do {,Start the loop where the digits are printed.,The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,2
System.out.println(num % 10);,Print the rightmost digit of the current value of num.,Each printed digit is followed by the line separator (e.g. '\n') at the end.,2
System.out.println(num % 10);,Print the rightmost digit of the current value of num.,We need to extract the last digit in the 1's position of the integer.,4
System.out.println(num % 10);,Print the rightmost digit of the current value of num.,"For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",1
System.out.println(num % 10);,Print the rightmost digit of the current value of num.,We do this by calculating the remainder of the division of the integer by 10.,2
System.out.println(num % 10);,Print the rightmost digit of the current value of num.,"Then, this statement prints the last digit of the integer to the standard output stream.",4
num = num / 10;,Divide num by 10 to remove the rightmost digit.,"Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",3
num = num / 10;,Divide num by 10 to remove the rightmost digit.,We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,4
num = num / 10;,Divide num by 10 to remove the rightmost digit.,Note that this statement performs an integer division because both operand of the / operator are integer.,1
} while (num > 0);,Continue the loop until all of the digits have been printed.,We need to check for termination conditions to avoid infinite loops.,3
} while (num > 0);,Continue the loop until all of the digits have been printed.,The loop should terminate when we run out of digits to process.,4
} while (num > 0);,Continue the loop until all of the digits have been printed.,"We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",3
} while (num > 0);,Continue the loop until all of the digits have been printed.,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",3
} while (num > 0);,Continue the loop until all of the digits have been printed.,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,4
Scanner scan = new Scanner(System.in);,Create a scanner to get input from the user.,"To read the input values from the user, we need to define a Scanner object.",4
Scanner scan = new Scanner(System.in);,Create a scanner to get input from the user.,We need to read and process the values that the user enters.,3
"System.out.println(""Enter the phone age in years:"");",Ask the user to enter the phone age.,We prompt the user to enter the phone age in years.,4
int phoneAge = scan.nextInt();,Get the phone age that the user entered.,We read the phone age by calling the nextInt() method because this input is an integer.,3
int phoneAge = scan.nextInt();,Get the phone age that the user entered.,We need to read the phone age that the user enters and store it in a variable.,3
"System.out.println(""Enter whether the phone is broken (true or false):"");",Ask the user if the phone is broken.,We prompt the user to enter whether the phone is broken.,4
boolean isBroken = scan.nextBoolean();,Check whether the user entered true or false to the previous question.,We need to read whether the phone is broken and store it in a variable.,3
boolean isBroken = scan.nextBoolean();,Check whether the user entered true or false to the previous question.,"The variable isBroken is true when the phone is broken, and false otherwise.",3
boolean isBroken = scan.nextBoolean();,Check whether the user entered true or false to the previous question.,We read whether the phone is broken by calling the nextBoolean() method because this input is a boolean.,3
scan.close();,Close the scanner since it is not needed any more.,We close the scanner as we do not want to process any input from the user in the rest of the program.,3
boolean needPhone = isBroken || phoneAge >= 3;,Check if the phone is broken or its age is greater than or equal to 3.,We use the || operator (called or) to combine the two conditions.,3
boolean needPhone = isBroken || phoneAge >= 3;,Check if the phone is broken or its age is greater than or equal to 3.,The first condition is to test if the phone is broken and the second condition is to test if the phone age is at least 3 years old.,4
boolean needPhone = isBroken || phoneAge >= 3;,Check if the phone is broken or its age is greater than or equal to 3.,We need two conditions to determine if it is the time for a new phone.,2
System.out.println(needPhone);,Print out whether a new phone is needed.,This statement prints true/false depending on whether it is time to buy a new phone.,4
System.out.println(needPhone);,Print out whether a new phone is needed.,The printed value is followed by an end-of-line character in the end.,2
Scanner scan = new Scanner(System.in);,Create a new scanner to get the user's input.,"To read the input value from the user, we need to define a Scanner object.",4
Scanner scan = new Scanner(System.in);,Create a new scanner to get the user's input.,We need to read and process the value that the user enters.,3
"System.out.println(""Enter an integer for seconds: "");",Ask the user to enter the number of seconds.,We prompt the user to enter the seconds.,5
int seconds = scan.nextInt();,Get the number entered by the user.,We need to read the seconds that the user enters and store it in a variable.,3
int seconds = scan.nextInt();,Get the number entered by the user.,We read the seconds by calling the nextInt() method because this input is an integer.,2
scan.close();,Close the scanner since it is not needed any more.,We close the scanner as we do not want to process any input from the user in the rest of the program.,4
int minutes = seconds / 60;,Get the minutes by dividing the seconds by 60.,"To obtain the minutes in seconds, we divide the seconds by 60 because there are 60 seconds in a minute.",4
int minutes = seconds / 60;,Get the minutes by dividing the seconds by 60.,"Note that since both operands of division operator are integer, the fractional part of the result is truncated, if there is any.",1
int remainingSeconds = seconds % 60;,Get the remaining seconds by calculating seconds modulo 60.,This is because there are 60 seconds in a minute.,2
int remainingSeconds = seconds % 60;,Get the remaining seconds by calculating seconds modulo 60.,Note that the % operator returns the remainder of the division.,2
int remainingSeconds = seconds % 60;,Get the remaining seconds by calculating seconds modulo 60.,"To obtain the remaining seconds after taking away the minutes, we have to take the remainder of the seconds divided by 60.",3
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");","Print out the seconds, minutes, and remaining seconds.",This statement prints to the default standard output stream the minutes and remaining seconds from the input amount of time in seconds.,4
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");","Print out the seconds, minutes, and remaining seconds.",The printed text is followed by the end-of-line character at the end.,2
int num = 15;,Initialize num to some number.,We define variable num to store the number that we want to find its smallest divisor.,3
int num = 15;,Initialize num to some number.,We could initialize it to any positive integer greater than 1.,3
int num = 15;,Initialize num to some number.,"In this program, we initialize variable num to 15.",3
int divisor = 2;,Initialize divisor to 2 for use in the while loop.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,3
int divisor = 2;,Initialize divisor to 2 for use in the while loop.,We define variable divisor to store the smallest divisor of the number.,2
while (num % divisor != 0) {,Loop until a divisor is found.,"Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",3
while (num % divisor != 0) {,Loop until a divisor is found.,We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,2
while (num % divisor != 0) {,Loop until a divisor is found.,"Therefore, we need to use a loop structure.",4
while (num % divisor != 0) {,Loop until a divisor is found.,"The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",3
while (num % divisor != 0) {,Loop until a divisor is found.,We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,1
divisor += 1;,Increment divisor by 1 to check if the next number is a divisor.,"When the divisor is not a factor of the number, we increment the variable divisor by 1.",3
"System.out.println(""The smallest divisor of "" + num + "" is "" + divisor);",Print out the number and its smallest divisor.,This statement prints to the default standard output stream the smallest divisor of the number.,4
Scanner scan = new Scanner(System.in);,Make a new scanner to get input from the user.,"To read the input value from the user, we need to define a Scanner object.",5
Scanner scan = new Scanner(System.in);,Make a new scanner to get input from the user.,We need to read and process the integer that the user enters.,3
"System.out.println(""Enter an integer: "");",Ask the user to enter an integer.,We prompt the user to enter an integer.,5
int num = scan.nextInt();,Get the integer that the user entered.,We read the input integer by calling the nextInt() method because this input is an integer.,4
int num = scan.nextInt();,Get the integer that the user entered.,We need to read the integer that the user enters and store it in a variable.,4
scan.close();,Close the scanner since it is not needed any more.,We close the scanner as we do not want to process any input from the user in the rest of the program.,5
if ( num > 0 ) {,Check if the number is greater than 0.,"If the integer is neither positive nor negative, then we could conclude that the integer is zero.",1
if ( num > 0 ) {,Check if the number is greater than 0.,"The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",1
if ( num > 0 ) {,Check if the number is greater than 0.,"To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",2
if ( num > 0 ) {,Check if the number is greater than 0.,"Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",1
if ( num > 0 ) {,Check if the number is greater than 0.,"If both of these tests fail, then we could conclude that the integer is zero.",1
"System.out.println(""The integer is positivie."");",Print that the number is positive if it is greater than 0.,This statement prints that the integer is positive.,4
"System.out.println(""The integer is positivie."");",Print that the number is positive if it is greater than 0.,The printed text is followed by the end-of-line character at the end.,1
} else if ( num < 0 ) {,Check if the number is less than 0.,"If the first test fails (i.e., when the integer is not positive), we need to test if the integer is negative.",4
"System.out.println(""The integer is negative."");",Print that the integer is negative if it is less than 0.,The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The integer is negative."");",Print that the integer is negative if it is less than 0.,This statement prints that the integer is negative.,5
"System.out.println(""The integer is positivie."");",Print that the integer is positive if it is greater than 0.,This statement prints that the integer is positive.,5
"System.out.println(""The integer is positivie."");",Print that the integer is positive if it is greater than 0.,The printed text is followed by the end-of-line character at the end.,1
} else {,Check if the number is not less than 0 or greater than 0.,"We need to end the above if-else if statements with an else statement that its body is executed when none of the above tests are true, that is when the integer is zero.",2
"System.out.println(""The integer is zero."");",Print that the integer is zero if it is not less than 0 or greater than 0.,The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The integer is zero."");",Print that the integer is zero if it is not less than 0 or greater than 0.,This statement prints that the integer is zero.,5
"int [] arr = { 1, 2, 3};",Initialize an array with some values.,We initialize the array of type int to hold the specified numbers.,4
"int [] arr = { 1, 2, 3};",Initialize an array with some values.,We initialize the array by separating elements with a comma and enclosing the collection in braces { }.,4
for ( int i = 0; i < arr.length; i++ ) {,Loop through all of the elements in the array.,We want to iterate over the array and increment each element in the array by 1.,3
for ( int i = 0; i < arr.length; i++ ) {,Loop through all of the elements in the array.,"To really change the array as we march across it, we need to use indexes so we can assign an updated value to each position as we go.",2
for ( int i = 0; i < arr.length; i++ ) {,Loop through all of the elements in the array.,We need the array indexes to start at 0 (array indexes start from 0) with every integer number up to but not including the array length.,2
arr[i] += 1;,Increment the current element in the array by 1.,This statement increments the element at the index i of the array by 1.,5
for (int num = 2; num <= 10; num += 2) {,Loop through the even positive integers less than or equal to 10.,"To do this, we need to use a loop structure.",5
for (int num = 2; num <= 10; num += 2) {,Loop through the even positive integers less than or equal to 10.,We need to repeat the same process for each of the even positive integers that are less than or equal to 10.,5
for (int num = 2; num <= 10; num += 2) {,Loop through the even positive integers less than or equal to 10.,"To do this, we initialize variable num to 2, loop until reaching 10 (inclusive), and increment num by 2 after each iteration of the loop.",3
for (int num = 2; num <= 10; num += 2) {,Loop through the even positive integers less than or equal to 10.,"We use for loops instead of a while loop because we need to repeat the loop a certain number of times, and for loops are best-suited in cases like this when we know ahead of time the number of times that we need to repeat the loop.",2
for (int num = 2; num <= 10; num += 2) {,Loop through the even positive integers less than or equal to 10.,"Here, we want the for loop to start counting from 2 (2 is the first positive even number) with every even integer number up to (including) 10.",3
"System.out.println(num + "" squared = "" + (num * num));",Print the current integer and its square.,The multiplication may also be performed directly in the println statement.,2
"System.out.println(num + "" squared = "" + (num * num));",Print the current integer and its square.,Note that we do not necessarily have to store the squared number in a variable.,1
"System.out.println(num + "" squared = "" + (num * num));",Print the current integer and its square.,"To square each number in the sequence, we multiply it by itself using the multiplication (*) operator.",2
"System.out.println(num + "" squared = "" + (num * num));",Print the current integer and its square.,"In each iteration of the loop, this statement prints the square number to the default standard output stream.",4
Point1 point = new Point1();,Create a new Point1.,This statement creates a Point1 object using the new keyword and empty parentheses.,4
Point1 point = new Point1();,Create a new Point1.,The variable point holds a reference to a Point1 object.,1
point.setX(7);,Set the x coordinate of the point to 7.,This statement invokes the method setX of the point to set its x-coordinate to 7.,4
"point.translate(11, 6);",Shift the point by +11 in the x direction and +6 in the y direction.,This statement invokes the method translate of the point.,1
"point.translate(11, 6);",Shift the point by +11 in the x direction and +6 in the y direction.,The second parameter specifies how much we want to shift the y-coordinate of the point.,2
"point.translate(11, 6);",Shift the point by +11 in the x direction and +6 in the y direction.,The translate method receives two parameters.,1
"point.translate(11, 6);",Shift the point by +11 in the x direction and +6 in the y direction.,The first parameter specifies how much we want to shift the x-coordinate of the point.,1
class Point1 {,Create a class called Point1.,We define the class Point1 to represent a point in the Euclidean plane.,4
private int y;,Declare the y coordinate.,"Therefore, we need to declare an instance variable for the class to store the y-coordinate of the point.",4
private int y;,Declare the y coordinate.,We declare it as integer because we want to have integer coordinates for the point.,2
private int y;,Declare the y coordinate.,"Note that an instance variable is a variable defined in a class, for which each instantiated object of the class has a separate copy, or instance.",1
private int y;,Declare the y coordinate.,Every object of the Point1 class will have its own y-coordinate.,1
"public void translate(int dx, int dy) {",Declare the function that shifts the coordinate.,"This method shifts the coordinates by a specific delta-x and delta-y, which are passed as parameters.",3
"public void translate(int dx, int dy) {",Declare the function that shifts the coordinate.,We define this method as public to provide access to this method from outside of the class.,1
"public void translate(int dx, int dy) {",Declare the function that shifts the coordinate.,"Also, we define its return type as void, as it does not return any value.",1
"public void translate(int dx, int dy) {",Declare the function that shifts the coordinate.,Note that both of the parameters are declared as integers because the point has integer coordinates.,1
x += dx;,Shift the x coordinate by dx.,"To shift the x-coordinate of the point, we need to add dx to the value of the x-coordinate of the point.",4
public void setX(int newX) {,Declare a function that sets the x coordinate.,"Also, we define its return type as void, as it does not return any value.",1
public void setX(int newX) {,Declare a function that sets the x coordinate.,We define this method as public to provide access to this method from outside of the class.,1
public void setX(int newX) {,Declare a function that sets the x coordinate.,This method sets the current value of the x-coordinate of the point to the given value (newX) that is specified as the method's parameter.,3
public void setX(int newX) {,Declare a function that sets the x coordinate.,"Note that the instance variable x is private; thus, it cannot be directly changed from outside the class.",1
public void setX(int newX) {,Declare a function that sets the x coordinate.,The parameter of the method is declared as integer because the x-coordinate of the point is an integer.,1
public void setX(int newX) {,Declare a function that sets the x coordinate.,It can be changed from outside the class only through this method.,1
public int getX() {,Declare a function that gets the current x coordinate.,We define this method as public to provide access to this method from outside of the class.,1
public int getX() {,Declare a function that gets the current x coordinate.,This method returns the x-coordinate of the point.,4
public int getX() {,Declare a function that gets the current x coordinate.,"Note that the instance variable x is private; thus, it cannot be directly accessed from outside the class.",1
public int getX() {,Declare a function that gets the current x coordinate.,"Also, we define its return type as int, as it returns the x-coordinate of the point which is an integer.",1
public int getX() {,Declare a function that gets the current x coordinate.,It can be accessed from outside the class only through this getter method.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Print out the x and y coordinates.,Note that we do not necessarily have to store the returned value from each of these methods in a variable.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Print out the x and y coordinates.,We could use the returned value of them directly in the println statement.,2
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Print out the x and y coordinates.,This statement prints the coordinates of the point to the default standard output stream.,4
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Print out the x and y coordinates.,The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Print out the x and y coordinates.,"To get the point's coordinates, we invoke the method getX and getY of the point.",1
"String fullName = ""John Smith""","Initialize the name to ""John Smith.""",We define a string variable to hold the name.,3
"String firstInitial = fullName.substring(0, 1);",Get the first initial of the name.,We need to extract the first letter from the first name.,4
"String firstInitial = fullName.substring(0, 1);",Get the first initial of the name.,"We do this by calling the substring(0,1) method.",1
"String lastInitial = fullName.substring(5, 6);",Get the last initial of the name.,We need to extract the first letter from the last name.,2
"String lastInitial = fullName.substring(5, 6);",Get the last initial of the name.,"We do this by calling the substring(5,6) method.",1
String initials = firstInitial + lastInitial;,Concatenate the first initial and last initial of the name.,This statements concatenates the extracted initials and store the result in the string initials.,4
System.out.println(initials);,Print out the initials of the name.,This statement prints the initials to the default standard output stream.,5
System.out.println(initials);,Print out the initials of the name.,The printed value is followed by the end-of-line character at the end.,1
"int[] values = {5, 8, 4, 78, 95, 12, 1, 0, 6, 35, 46};",Initialize the array with some values.,We define array values to hold the specified numbers.,4
"int[] values = {5, 8, 4, 78, 95, 12, 1, 0, 6, 35, 46};",Initialize the array with some values.,We initialize the array by separating elements with a comma and enclosing the collection in braces { }.,3
int maxValue = values[0];,Initialize the maximum value to the first value in the array.,We need variable maxValue to store the maximum value of the array.,3
int maxValue = values[0];,Initialize the maximum value to the first value in the array.,We initialize this variable by the first value in the array because we initially assume that the first value is the maximum.,4
for (int i = 1; i < values.length; i++) {,Loop through the values in the array other than the first value.,We use a for loop to iterate over the remaining array indexes and search for the maximum value.,4
for (int i = 1; i < values.length; i++) {,Loop through the values in the array other than the first value.,We need the array indexes to start at 1 with every integer number up to but not including the array length.,3
if (values[i] > maxValue) {,Check if the current value is greater than the maximum value seen so far.,We need to compare the value at the index i of the array with the maximum value stored in variable maxValue.,3
if (values[i] > maxValue) {,Check if the current value is greater than the maximum value seen so far.,"If the value at that index is larger than the maximum value, then we need to set the maximum value to the value of the element at index i.",2
maxValue = values[i];,Set the maximum value to the current value.,This statement sets the maximum value to value of the element at index i of the array.,4
"System.out.println(""Maximum value: "" + maxValue);",Print out the maximum value.,This statement prints the maximum value of the array to the default standard output stream.,5
Scanner scan = new Scanner(System.in);,Creates a scanner object to receive user inputs,"To read the input value from the user, we need to define a Scanner object.",5
Scanner scan = new Scanner(System.in);,Creates a scanner object to receive user inputs,We need to read and process the value that the user enters.,3
int num = 1234;,"This line initializes the integer ""num"" which is the number that will have it's digits printed.",We need variable num to store the integer that we want to print its digits.,4
do {,This line starts the do-while loop.,We need to process the digits of the integer from right to left and print them.,1
do {,This line starts the do-while loop.,"Therefore, we need to use a loop structure.",3
do {,This line starts the do-while loop.,"In this program, we do this by using a do loop.",4
do {,This line starts the do-while loop.,The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,2
do {,"This loop will print each digit starting from the last digit, and ending with the first digit of the integer ""num""",We need to process the digits of the integer from right to left and print them.,4
do {,"This loop will print each digit starting from the last digit, and ending with the first digit of the integer ""num""","Therefore, we need to use a loop structure.",3
do {,"This loop will print each digit starting from the last digit, and ending with the first digit of the integer ""num""","In this program, we do this by using a do loop.",2
do {,"This loop will print each digit starting from the last digit, and ending with the first digit of the integer ""num""",The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,1
System.out.println(num % 10);,"This line performs a modulus calculation that gets the last digit from the integer ""num"" and prints that digit.",Each printed digit is followed by the line separator (e.g. '\n') at the end.,1
System.out.println(num % 10);,"This line performs a modulus calculation that gets the last digit from the integer ""num"" and prints that digit.",We need to extract the last digit in the 1's position of the integer.,4
System.out.println(num % 10);,"This line performs a modulus calculation that gets the last digit from the integer ""num"" and prints that digit.","For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",2
System.out.println(num % 10);,"This line performs a modulus calculation that gets the last digit from the integer ""num"" and prints that digit.",We do this by calculating the remainder of the division of the integer by 10.,3
System.out.println(num % 10);,"This line performs a modulus calculation that gets the last digit from the integer ""num"" and prints that digit.","Then, this statement prints the last digit of the integer to the standard output stream.",4
num = num / 10;,"This divides the integer ""num"" by 10 so that the next time through the loop it gets the next digit in ""num""","Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",4
num = num / 10;,"This divides the integer ""num"" by 10 so that the next time through the loop it gets the next digit in ""num""",We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,3
num = num / 10;,"This divides the integer ""num"" by 10 so that the next time through the loop it gets the next digit in ""num""",Note that this statement performs an integer division because both operand of the / operator are integer.,3
} while (num > 0);,This is the second part of the do-while loop.,We need to check for termination conditions to avoid infinite loops.,1
} while (num > 0);,This is the second part of the do-while loop.,The loop should terminate when we run out of digits to process.,1
} while (num > 0);,This is the second part of the do-while loop.,"We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",1
} while (num > 0);,This is the second part of the do-while loop.,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",1
} while (num > 0);,This is the second part of the do-while loop.,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,1
} while (num > 0);,"It makes sure this loop continues to loop through while the integer ""num"" is greater than 0.",We need to check for termination conditions to avoid infinite loops.,2
} while (num > 0);,"It makes sure this loop continues to loop through while the integer ""num"" is greater than 0.",The loop should terminate when we run out of digits to process.,3
} while (num > 0);,"It makes sure this loop continues to loop through while the integer ""num"" is greater than 0.","We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",3
} while (num > 0);,"It makes sure this loop continues to loop through while the integer ""num"" is greater than 0.","If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",4
} while (num > 0);,"It makes sure this loop continues to loop through while the integer ""num"" is greater than 0.",The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,3
Scanner scan = new Scanner(System.in);,Allows the user to send input to the machine,"To read the input values from the user, we need to define a Scanner object.",3
Scanner scan = new Scanner(System.in);,Allows the user to send input to the machine,We need to read and process the values that the user enters.,4
"System.out.println(""Enter the phone age in years:"");","Asks the user by printing a line that says to ""enter the phone age in years:""",We prompt the user to enter the phone age in years.,5
int phoneAge = scan.nextInt();,"This line sets the int ""phoneAge"" to the next input it receives from the user.",We read the phone age by calling the nextInt() method because this input is an integer.,3
int phoneAge = scan.nextInt();,"This line sets the int ""phoneAge"" to the next input it receives from the user.",We need to read the phone age that the user enters and store it in a variable.,4
"System.out.println(""Enter whether the phone is broken (true or false):"");","Prints the statement ""Enter whether the phone is broken (true or false):"" on the machine.",We prompt the user to enter whether the phone is broken.,5
